date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2015-9-1,84,74,94,73,95,59,107,1915,2000,0.00,0.11,2.51
2015-9-2,83,71,95,73,94,58,107,1915,2000,0.00,0.12,3.55
2015-9-3,84,73,94,73,94,59,108,1974,2000,0.00,0.10,3.15
2015-9-4,88,75,100,73,94,57,110,1934,2000,0.00,0.12,2.42
2015-9-5,90,79,101,72,94,56,112,1974,2000,0.01,0.11,1.30
2015-9-6,88,76,100,72,93,52,102,1924,1990,0.00,0.12,3.90
2015-9-7,88,76,100,72,93,54,103,1924,2012,0.00,0.11,7.04
2015-9-8,88,76,99,72,93,54,101,1918,1993,0.00,0.12,3.17
2015-9-9,84,74,93,71,93,56,100,1957,1997,1.05,0.11,15.00
2015-9-10,84,72,96,71,92,54,101,1924,1963,0.79,0.11,4.03
2015-9-11,84,75,93,71,92,55,104,1924,2011,0.0,0.12,2.35
2015-9-12,80,69,91,71,92,55,105,1898,2011,0.00,0.10,2.11
2015-9-13,77,63,91,70,91,52,105,1902,2011,0.00,0.11,2.50
2015-9-14,77,64,90,70,91,54,103,1902,2011,0.00,0.10,2.01
2015-9-15,84,73,95,70,91,55,99,1945,1953,0.0,0.10,2.02
2015-9-16,84,75,93,69,90,54,99,1945,1965,0.04,0.10,2.73
2015-9-17,86,75,96,69,90,53,98,1903,1925,0.00,0.09,1.60
2015-9-18,86,75,96,69,90,45,99,1903,1956,0.00,0.09,3.66
2015-9-19,85,74,96,69,89,50,101,1903,1956,0.00,0.09,1.40
2015-9-20,82,69,95,68,89,52,103,1971,1956,0.00,0.09,2.92
2015-9-21,84,73,95,68,89,50,100,1901,1926,0.00,0.08,1.27
2015-9-22,84,70,97,68,89,49,102,1995,1926,0.00,0.08,4.00
2015-9-23,81,68,94,67,88,52,100,1995,2000,0.00,0.08,2.56
2015-9-24,82,69,95,67,88,48,99,1924,1926,0.00,0.09,2.06
2015-9-25,84,72,96,67,88,48,107,1924,2005,0.0,0.09,1.95
2015-9-26,82,68,95,66,87,48,107,2000,2005,0.00,0.08,4.71
2015-9-27,81,67,95,66,87,41,103,1942,1953,0.00,0.09,2.54
2015-9-28,79,69,89,66,87,49,106,1942,2005,0.00,0.10,1.87
2015-9-29,81,67,94,65,87,47,101,1967,2011,0.00,0.09,1.91
2015-9-30,83,70,95,65,86,42,97,1924,1923,0.00,0.09,1.15
2015-10-1,82,69,94,65,86,42,98,1924,1989,0.00,0.10,4.64
2015-10-2,78,67,89,65,86,43,100,1924,1938,0.00,0.10,2.13
2015-10-3,72,56,87,64,86,48,97,1961,1979,0.00,0.11,2.08
2015-10-4,73,59,87,64,85,47,98,1975,1929,0.00,0.11,3.57
2015-10-5,76,67,85,64,85,48,96,1975,1925,0.00,0.11,1.80
2015-10-6,77,63,90,63,85,45,96,1932,1989,0.00,0.12,3.80
2015-10-7,77,62,91,63,84,47,97,1952,1917,0.00,0.11,3.21
2015-10-8,80,68,91,63,84,42,96,1952,1925,0.00,0.13,0.86
2015-10-9,80,72,88,63,84,41,95,1976,1926,0.00,0.12,2.00
2015-10-10,79,67,90,62,84,45,97,1990,1926,0.00,0.13,1.82
2015-10-11,80,64,95,62,83,44,96,1952,1926,0.00,0.13,4.64
