date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2015-9-1,83,71,95,67,84,50,99,1890,1953,0.00,0.10,2.82
2015-9-2,85,75,94,67,84,50,101,1895,1980,0.00,0.11,5.16
2015-9-3,85,74,96,67,84,48,98,1909,1953,0.0,0.12,1.67
2015-9-4,84,75,92,67,84,49,95,1908,1985,0.00,0.11,4.49
2015-9-5,80,73,86,66,83,50,97,1902,1881,0.00,0.11,4.45
2015-9-6,78,68,87,66,83,47,98,1909,1954,0.00,0.10,3.50
2015-9-7,80,69,90,66,83,46,104,1924,1881,0.00,0.11,3.78
2015-9-8,82,72,92,65,82,52,100,1988,1939,0.00,0.12,2.93
2015-9-9,85,75,94,65,82,48,98,1901,1872,0.0,0.12,1.48
2015-9-10,77,70,84,65,82,44,98,1883,1983,0.11,0.11,2.79
2015-9-11,76,65,87,64,81,40,98,1917,1983,0.00,0.12,1.85
2015-9-12,71,67,75,64,81,41,96,1917,1931,0.16,0.12,4.02
2015-9-13,67,60,74,64,81,44,94,1917,1925,0.0,0.13,2.51
2015-9-14,68,55,80,63,80,46,94,1911,1980,0.00,0.13,4.07
2015-9-15,72,60,84,63,80,43,97,1902,1930,0.00,0.13,2.52
2015-9-16,73,60,86,63,80,44,96,1902,1991,0.00,0.14,4.76
2015-9-17,75,63,86,62,79,44,96,1923,1991,0.00,0.14,3.26
2015-9-18,76,65,87,62,79,45,91,1937,1927,0.00,0.13,2.28
2015-9-19,77,67,87,61,78,44,96,1916,1895,0.00,0.14,1.23
2015-9-20,75,68,82,61,78,41,94,1916,1895,0.00,0.13,1.43
2015-9-21,67,63,70,61,78,41,96,1956,1895,0.23,0.13,2.18
2015-9-22,69,62,75,60,77,39,98,1904,1895,0.00,0.13,1.53
2015-9-23,70,60,80,60,77,36,98,1904,1895,0.00,0.13,2.40
2015-9-24,70,60,79,59,76,39,99,1963,2010,0.00,0.13,1.98
2015-9-25,68,63,73,59,76,39,95,1963,1930,0.0,0.14,3.46
2015-9-26,69,64,74,58,76,38,96,1879,1930,0.0,0.13,2.25
2015-9-27,69,62,75,58,75,40,95,1879,1998,0.0,0.13,3.17
2015-9-28,75,67,83,58,75,42,91,1947,1886,0.00,0.12,2.46
2015-9-29,76,71,80,57,74,40,93,1942,1954,1.65,0.13,2.68
2015-9-30,71,63,78,57,74,38,91,1942,1986,0.0,0.13,4.66
2015-10-1,60,57,63,56,74,36,93,1899,1927,0.78,0.11,2.27
2015-10-2,54,50,58,56,73,33,89,1899,1986,0.96,0.10,1.74
2015-10-3,54,50,58,55,73,35,92,1899,1879,0.19,0.11,1.92
2015-10-4,57,54,59,55,72,34,94,1974,1954,0.0,0.11,3.98
2015-10-5,61,52,69,55,72,37,96,1935,1941,0.00,0.11,2.53
2015-10-6,64,50,77,54,72,35,93,1881,1941,0.00,0.11,1.47
2015-10-7,68,58,78,54,71,34,95,1917,1941,0.00,0.11,3.63
2015-10-8,68,57,78,53,71,36,91,1964,2007,0.00,0.11,3.67
2015-10-9,71,62,79,53,71,34,94,1889,2007,0.40,0.12,1.02
2015-10-10,59,51,66,53,70,30,92,1895,1939,0.00,0.11,2.15
2015-10-11,59,47,71,52,70,33,90,1906,1919,0.00,0.11,2.76
2015-10-12,63,50,75,52,70,31,89,1906,1962,0.00,0.11,1.53
2015-10-13,69,59,78,52,69,31,89,1906,1954,0.0,0.11,1.82
2015-10-14,63,55,71,51,69,32,87,1875,1975,0.00,0.12,3.36
2015-10-15,61,53,68,51,69,32,87,1874,1975,0.00,0.11,2.59
2015-10-16,59,51,67,50,68,30,89,1897,1897,0.00,0.11,1.38
2015-10-17,52,44,60,50,68,33,86,1893,1938,0.00,0.10,2.52
2015-10-18,46,38,54,50,68,34,85,1876,1938,0.0,0.11,1.67
2015-10-19,47,37,56,49,67,30,88,1880,1938,0.00,0.11,2.73
2015-10-20,56,44,68,50,68,31,86,1972,1969,0.00,0.11,2.97
2015-10-21,61,48,73,49,67,30,85,1974,1947,0.00,0.11,2.02
2015-10-22,63,50,76,48,66,29,84,1895,1979,0.00,0.11,1.54
2015-10-23,61,52,70,48,66,33,85,1969,1978,0.00,0.10,3.31
2015-10-24,55,47,62,48,66,29,84,1969,2001,0.00,0.11,2.01
2015-10-25,63,54,71,48,66,31,80,1937,1902,0.03,0.11,3.12
2015-10-26,54,46,61,47,65,28,82,1879,1978,0.00,0.10,2.65
2015-10-27,52,44,59,47,65,30,83,1962,1963,0.0,0.11,1.75
2015-10-28,63,55,70,47,65,27,87,1936,1919,0.65,0.12,2.03
2015-10-29,65,56,73,46,64,30,82,1965,1918,0.03,0.11,3.85
2015-10-30,54,46,61,46,64,26,82,1873,1996,0.00,0.12,1.02
2015-10-31,52,42,61,46,64,26,85,1917,1950,0.00,0.11,1.30
2015-11-1,59,53,64,45,63,27,86,1893,1974,0.04,0.11,1.79
2015-11-2,59,51,66,45,63,28,85,1923,1971,0.00,0.12,0.99
2015-11-3,59,46,72,45,63,29,80,1917,1974,0.00,0.11,0.93
2015-11-4,62,48,75,45,62,26,84,1879,1974,0.02,0.11,2.30
2015-11-5,65,58,72,44,62,20,81,1879,1961,0.15,0.11,1.00
2015-11-6,70,60,80,44,62,26,80,1967,2015,0.0,0.11,2.58
2015-11-7,63,54,71,44,61,27,77,1930,1975,0.11,0.11,2.00
2015-11-8,51,44,58,43,61,27,81,1930,1975,0.00,0.11,2.95
2015-11-9,47,41,53,43,61,26,79,1976,1994,0.53,0.10,1.40
2015-11-10,56,51,61,43,60,27,76,1914,1975,0.24,0.10,1.77
2015-11-11,58,51,64,43,60,26,78,1973,1949,0.00,0.09,1.46
2015-11-12,58,49,66,42,59,24,77,1926,1912,0.01,0.09,2.06
2015-11-13,56,49,62,42,59,22,80,1911,1879,0.00,0.09,1.76
2015-11-14,48,41,55,42,59,19,77,1920,1955,0.00,0.10,1.56
2015-11-15,50,36,64,41,58,20,83,1905,1993,0.00,0.11,1.90
2015-11-16,56,42,70,41,58,19,76,1933,2001,0.00,0.10,2.17
2015-11-17,54,46,61,41,57,17,77,1933,1896,0.00,0.11,2.04
2015-11-18,56,46,65,41,57,21,80,1959,1921,0.00,0.10,0.90
2015-11-19,62,59,65,40,57,18,77,1891,1928,0.63,0.11,1.47
2015-11-20,51,42,60,40,56,20,79,1901,1942,0.00,0.11,1.83
2015-11-21,47,38,55,40,56,18,79,1872,1900,0.00,0.11,2.52
2015-11-22,43,37,49,39,55,12,77,1880,2007,0.00,0.11,1.23
2015-11-23,37,32,42,39,55,12,75,1880,1979,0.00,0.10,1.52
2015-11-24,45,33,56,39,55,13,74,1880,1958,0.00,0.11,2.83
2015-11-25,48,37,58,38,54,18,79,1950,1973,0.00,0.11,1.78
2015-11-26,52,40,64,38,54,17,74,1950,1979,0.00,0.10,1.52
2015-11-27,54,42,65,38,53,14,75,1938,1896,0.00,0.11,1.82
2015-11-28,57,49,64,37,53,15,74,1930,1973,0.0,0.10,2.26
2015-11-29,52,45,59,37,52,14,73,1930,1905,0.17,0.11,1.55
2015-11-30,42,39,45,37,52,11,75,1929,1933,0.20,0.11,1.15
2015-12-1,46,44,48,37,52,14,75,1936,2006,0.85,0.11,1.90
2015-12-2,54,48,59,36,51,15,73,1886,1970,0.22,0.11,1.34
2015-12-3,48,42,53,36,51,15,71,1976,2012,0.00,0.11,1.83
2015-12-4,45,36,53,36,50,15,76,1896,1998,0.00,0.10,1.73
2015-12-5,44,33,54,35,50,14,75,1886,2001,0.00,0.11,1.72
2015-12-6,43,33,52,35,50,11,78,1893,1998,0.00,0.11,1.47
2015-12-7,48,36,60,35,49,10,79,1882,1998,0.00,0.11,3.10
2015-12-8,47,38,56,34,49,8,74,1882,1978,0.00,0.10,1.35
2015-12-9,44,39,49,34,49,4,71,1876,1991,0.0,0.11,1.29
2015-12-10,52,41,63,34,48,4,67,1876,1966,0.0,0.11,2.23
2015-12-11,54,42,66,34,48,12,68,1917,1971,0.00,0.11,1.66
2015-12-12,57,45,68,33,48,13,71,1957,1873,0.00,0.11,1.36
2015-12-13,60,48,71,33,47,11,71,1960,1889,0.00,0.09,2.43
2015-12-14,61,53,69,33,47,6,70,1904,1931,0.13,0.10,1.89
2015-12-15,57,47,67,33,47,6,71,1904,1971,0.0,0.10,1.38
2015-12-16,49,41,57,32,46,10,74,1917,1971,0.00,0.09,1.19
2015-12-17,51,47,54,32,46,10,64,1876,1984,0.42,0.10,2.43
2015-12-18,44,35,52,32,46,10,74,1926,2006,0.00,0.09,2.81
2015-12-19,38,30,45,32,46,6,74,1884,1924,0.00,0.10,1.34
2015-12-20,39,32,46,31,45,5,66,1942,1889,0.00,0.09,1.56
2015-12-21,48,38,58,31,45,4,72,1942,2013,0.00,0.09,1.38
2015-12-22,57,51,62,31,45,3,72,1872,1889,0.14,0.10,1.68
2015-12-23,60,54,66,31,45,7,71,1989,1990,1.67,0.09,1.67
2015-12-24,66,60,71,31,45,5,71,1983,2015,0.20,0.10,2.36
2015-12-25,63,57,69,30,44,3,72,1983,1964,0.30,0.09,1.41
2015-12-26,56,51,60,30,44,4,72,1935,1889,0.01,0.09,1.42
2015-12-27,61,51,70,30,44,2,72,1971,1971,0.02,0.09,1.16
2015-12-28,51,41,60,30,44,10,75,1914,1946,0.23,0.09,1.38
2015-12-29,49,44,53,30,44,2,75,1917,1984,0.50,0.09,2.57
2015-12-30,52,49,55,30,44,-7,70,1880,1990,0.15,0.08,1.81
2015-12-31,51,44,57,29,44,-13,70,1880,1965,0.00,0.08,1.68
2016-1-1,42,36,47,29,44,-14,69,1881,2005,0.00,0.09,1.52
2016-1-2,40,32,48,29,43,-1,71,1899,1876,0.00,0.08,1.44
2016-1-3,43,32,54,29,43,-3,68,1877,2004,0.00,0.09,1.87
2016-1-4,30,21,38,29,43,-3,73,1877,1997,0.00,0.08,2.28
2016-1-5,25,16,34,29,43,-3,71,1877,1997,0.00,0.09,1.44
2016-1-6,30,20,40,29,43,2,73,1884,2007,0.00,0.09,1.35
2016-1-7,39,34,43,29,43,5,76,1884,1907,0.00,0.09,1.33
2016-1-8,43,40,45,29,43,0,73,1878,2008,0.0,0.09,2.21
2016-1-9,46,41,50,29,43,4,76,1970,1937,0.23,0.09,1.87
2016-1-10,50,37,62,29,43,-3,70,1875,1950,0.56,0.09,0.81
2016-1-11,35,28,41,29,43,2,75,1982,1975,0.00,0.10,1.72
2016-1-12,38,28,47,28,43,3,76,1886,1890,0.0,0.09,2.77
2016-1-13,27,21,32,28,43,-8,75,1912,1932,0.00,0.09,1.26
2016-1-14,41,28,53,28,43,-13,76,1912,1932,0.00,0.10,1.82
2016-1-15,42,34,50,28,43,4,77,1886,1932,0.32,0.09,1.18
2016-1-16,46,38,53,28,43,2,73,1893,1953,0.01,0.09,1.00
2016-1-17,35,32,38,28,43,-5,74,1982,1943,0.05,0.09,1.09
2016-1-18,25,16,34,28,43,-6,69,1893,1990,0.0,0.09,1.30
2016-1-19,22,15,28,28,43,-4,71,1994,1951,0.00,0.09,1.41
2016-1-20,25,19,31,28,43,-2,70,1985,1951,0.03,0.09,1.77
2016-1-21,29,24,34,28,43,-4,70,1985,1959,0.0,0.10,1.41
2016-1-22,26,22,29,28,43,1,76,1893,1927,0.50,0.09,1.49
2016-1-23,27,24,29,28,44,0,72,1936,1974,0.97,0.09,1.79
2016-1-24,27,19,35,29,44,3,73,1963,1950,0.0,0.09,1.34
2016-1-25,29,16,42,29,44,3,75,1935,1950,0.00,0.09,1.66
2016-1-26,41,30,52,29,44,5,79,1948,1950,0.0,0.09,1.52
2016-1-27,40,31,48,29,44,6,75,1935,1974,0.0,0.08,0.99
2016-1-28,33,25,40,29,44,-2,73,1935,1949,0.00,0.10,2.15
2016-1-29,36,28,43,29,44,2,76,1873,1975,0.0,0.09,1.02
2016-1-30,33,24,42,29,44,-6,77,1873,2002,0.00,0.09,0.97
2016-1-31,47,36,57,29,44,-2,71,1905,1916,0.00,0.10,1.18
2016-2-1,52,43,61,29,44,6,77,1935,2002,0.12,0.10,2.05
2016-2-2,45,36,53,29,45,2,72,1904,1990,0.00,0.09,2.11
2016-2-3,49,41,57,29,45,0,65,1895,1927,0.50,0.10,1.48
2016-2-4,50,42,58,29,45,2,70,1898,1991,0.02,0.10,2.02
2016-2-5,39,33,44,29,45,-2,70,1918,1991,0.04,0.09,0.80
2016-2-6,36,28,44,30,45,1,74,1895,2008,0.00,0.09,2.29
2016-2-7,38,30,46,30,45,3,64,1907,1887,0.00,0.09,1.29
2016-2-8,40,34,46,30,46,0,68,1895,1900,0.01,0.10,1.63
2016-2-9,36,32,40,30,46,-7,70,1899,2001,0.22,0.09,1.92
2016-2-10,33,26,39,30,46,-8,68,1899,1959,0.0,0.10,0.83
2016-2-11,26,21,30,30,46,-15,76,1899,1932,0.00,0.09,1.91
2016-2-12,25,19,31,30,46,4,74,1899,1999,0.0,0.09,1.37
2016-2-13,22,15,28,31,47,2,72,1917,1951,0.0,0.09,1.77
2016-2-14,20,13,26,31,47,4,73,1905,1990,0.01,0.10,0.98
2016-2-15,26,20,31,31,47,-6,77,1899,1949,0.47,0.09,1.38
2016-2-16,42,30,53,31,47,5,75,1905,1954,0.69,0.10,2.14
2016-2-17,40,31,49,31,48,5,79,1958,1976,0.00,0.09,0.91
2016-2-18,35,30,40,31,48,3,77,1903,2011,0.00,0.09,1.10
2016-2-19,34,26,42,32,48,4,74,1903,1939,0.00,0.09,1.67
2016-2-20,53,40,65,32,48,5,76,2015,1930,0.00,0.09,1.45
2016-2-21,51,45,57,32,49,7,75,1885,1953,0.09,0.10,1.44
2016-2-22,47,41,53,32,49,9,77,1963,1874,0.0,0.09,2.27
2016-2-23,43,40,45,32,49,11,78,1907,1874,0.52,0.10,1.34
2016-2-24,54,42,65,32,49,1,78,1873,1985,1.10,0.10,1.67
2016-2-25,50,40,60,33,50,-1,84,1914,1930,0.0,0.10,1.19
2016-2-26,36,31,40,33,50,12,74,1970,1932,0.00,0.09,1.21
2016-2-27,37,27,47,33,50,8,77,1934,1997,0.00,0.09,0.91
2016-2-28,49,33,65,33,51,-1,82,1934,1948,0.00,0.09,1.13
