date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2015-9-1,67,58,76,56,79,44,98,1973,1988,0.06,0.03,1.48
2015-9-2,66,58,73,56,79,42,105,1960,1988,0.05,0.04,0.86
2015-9-3,59,50,68,56,79,45,94,1980,2003,0.0,0.03,1.18
2015-9-4,60,49,70,56,79,43,98,1956,1955,0.00,0.04,1.00
2015-9-5,59,52,66,56,79,44,101,1956,1944,0.02,0.04,0.75
2015-9-6,55,49,60,55,78,45,97,1960,1958,0.07,0.05,0.99
2015-9-7,64,53,75,55,78,42,99,1992,1981,0.00,0.04,1.55
2015-9-8,67,53,81,55,78,42,93,1961,1993,0.00,0.04,0.27
2015-9-9,72,61,83,55,78,42,94,1962,1948,0.00,0.04,0.84
2015-9-10,74,59,88,55,78,42,98,1964,1944,0.00,0.04,1.18
2015-9-11,76,58,94,54,77,43,95,1964,2013,0.00,0.05,0.44
2015-9-12,77,63,90,54,77,41,92,1955,1975,0.00,0.04,0.23
2015-9-13,66,56,76,54,77,37,93,1970,1999,0.00,0.04,0.50
2015-9-14,57,53,61,54,77,42,92,1992,1995,0.03,0.05,2.03
2015-9-15,58,50,65,53,76,40,96,1970,1981,0.0,0.04,0.57
2015-9-16,62,53,71,53,76,41,92,1965,1994,0.0,0.05,0.36
2015-9-17,62,56,68,53,76,34,93,1965,1962,0.66,0.05,2.23
2015-9-18,65,54,76,53,76,36,93,1965,1991,0.00,0.05,0.97
2015-9-19,66,52,79,52,75,39,93,1957,1974,0.00,0.05,0.97
2015-9-20,69,57,80,52,75,39,96,1957,1952,0.00,0.06,1.56
2015-9-21,62,55,69,52,75,39,94,1964,1952,0.09,0.05,0.76
2015-9-22,61,50,71,52,74,34,93,1961,1994,0.00,0.06,0.73
2015-9-23,61,46,76,51,74,40,94,2000,1974,0.00,0.06,0.86
2015-9-24,66,53,78,51,73,36,96,1970,1974,0.00,0.05,0.74
2015-9-25,62,58,66,51,73,38,94,1955,1991,0.28,0.06,1.48
2015-9-26,61,52,70,51,73,38,92,1961,1967,0.0,0.07,1.11
2015-9-27,58,45,71,50,72,37,95,1961,2003,0.00,0.06,1.30
2015-9-28,65,48,81,50,72,37,89,1983,1989,0.00,0.06,1.25
2015-9-29,65,48,81,50,71,37,89,1954,2008,0.00,0.07,1.44
2015-9-30,63,52,74,50,71,35,88,1954,1987,0.00,0.06,1.68
2015-10-1,63,50,76,49,70,33,92,1950,1987,0.00,0.06,0.98
2015-10-2,57,50,63,49,70,37,90,1954,1970,0.02,0.07,0.79
2015-10-3,59,46,71,49,70,38,86,1964,1979,0.00,0.06,0.69
2015-10-4,65,49,81,49,69,37,84,1977,1952,0.00,0.07,1.00
2015-10-5,68,50,85,48,69,37,90,1972,1980,0.00,0.06,0.80
2015-10-6,66,54,77,48,68,37,89,1974,1952,0.00,0.07,1.24
2015-10-7,63,60,66,48,68,33,83,1970,1943,0.07,0.07,0.79
2015-10-8,66,57,75,48,67,32,82,1985,1971,0.00,0.07,0.87
2015-10-9,63,54,71,47,67,30,83,1985,1996,0.0,0.07,1.66
2015-10-10,64,55,72,47,66,35,85,1960,1991,0.29,0.07,1.65
2015-10-11,59,50,68,47,66,37,86,1990,1991,0.00,0.08,0.82
2015-10-12,59,47,71,47,65,39,78,2002,2006,0.00,0.08,1.11
2015-10-13,61,50,72,46,65,35,81,1966,2004,0.00,0.08,0.43
2015-10-14,62,51,72,46,65,31,82,1969,1991,0.00,0.09,0.51
2015-10-15,65,49,80,46,64,33,80,1992,1991,0.00,0.09,1.06
2015-10-16,62,50,74,46,64,30,80,1946,2002,0.00,0.09,0.76
2015-10-17,62,57,67,46,63,33,79,1971,1952,0.01,0.10,0.77
2015-10-18,62,58,66,45,63,31,78,1949,1978,0.04,0.10,1.40
2015-10-19,60,56,64,45,62,27,78,1949,1940,0.0,0.11,1.32
2015-10-20,59,50,67,45,62,28,77,1949,2003,0.0,0.11,0.99
2015-10-21,57,47,66,45,62,30,81,1949,2003,0.00,0.11,1.10
2015-10-22,56,46,66,45,61,33,75,1980,1965,0.00,0.11,1.88
2015-10-23,53,42,63,45,61,32,75,1964,2007,0.00,0.12,0.79
2015-10-24,60,50,69,44,60,30,73,1958,1974,0.00,0.13,1.31
2015-10-25,58,53,62,44,60,34,74,2002,1965,0.64,0.12,1.10
2015-10-26,55,46,63,44,60,30,74,1963,1987,0.01,0.12,2.33
2015-10-27,54,44,63,44,59,31,75,1970,1944,0.00,0.13,2.44
2015-10-28,56,52,59,44,59,26,72,1946,2003,0.29,0.13,1.62
2015-10-29,59,54,64,44,58,26,71,1971,1993,0.01,0.14,1.14
2015-10-30,59,56,62,44,58,27,69,1991,1988,0.34,0.15,1.20
2015-10-31,59,53,64,43,58,28,71,1995,1954,1.97,0.14,2.44
2015-11-1,57,51,63,43,57,26,70,2003,1969,0.19,0.15,1.31
2015-11-2,53,47,58,43,57,27,68,2002,1976,0.0,0.15,1.33
2015-11-3,49,40,57,43,57,27,73,2002,1975,0.00,0.16,1.88
2015-11-4,45,37,53,43,56,27,69,1957,1980,0.00,0.16,1.87
2015-11-5,50,47,53,43,56,28,68,1971,1987,0.02,0.17,1.12
2015-11-6,56,47,64,42,56,27,68,1971,2006,0.0,0.17,2.53
2015-11-7,48,43,53,42,55,29,66,1959,1941,0.57,0.18,1.07
2015-11-8,51,46,55,42,55,27,64,1977,1976,0.33,0.18,1.38
2015-11-9,48,40,55,42,55,28,65,1959,1989,0.02,0.18,1.40
2015-11-10,46,42,49,42,55,25,65,1978,1989,0.01,0.19,1.30
2015-11-11,49,43,55,42,54,26,64,1955,1989,0.20,0.19,2.01
2015-11-12,45,38,51,41,54,19,66,1978,1974,0.08,0.18,0.94
2015-11-13,55,51,58,41,54,18,71,1978,1999,0.05,0.19,1.37
2015-11-14,58,55,60,41,53,15,67,1955,2001,0.0,0.19,1.28
2015-11-15,48,40,56,41,53,13,62,1955,2001,0.30,0.19,2.43
2015-11-16,45,39,50,41,53,20,68,1955,1976,0.38,0.19,1.13
2015-11-17,53,47,58,40,52,23,63,1961,2007,0.84,0.19,1.46
2015-11-18,46,39,52,40,52,24,61,2000,2003,0.25,0.20,1.99
2015-11-19,44,40,48,40,52,25,62,1956,1965,0.54,0.20,2.69
2015-11-20,45,37,52,40,51,25,63,1964,2002,0.00,0.19,1.50
2015-11-21,42,32,51,39,51,23,62,1952,1954,0.00,0.20,1.57
2015-11-22,37,28,46,39,51,20,59,1985,1968,0.00,0.20,2.35
2015-11-23,37,30,44,39,51,17,63,1985,1959,0.41,0.20,1.80
2015-11-24,39,34,43,39,50,13,64,1985,1949,0.30,0.19,2.31
2015-11-25,40,30,49,39,50,20,63,1985,1977,0.00,0.21,2.11
2015-11-26,38,24,51,38,50,18,62,1952,2014,0.00,0.20,2.26
2015-11-27,38,25,50,38,49,20,63,1952,1947,0.00,0.21,1.97
2015-11-28,39,31,47,38,49,20,59,1952,1940,0.00,0.20,1.41
2015-11-29,35,29,41,38,49,21,58,1985,2008,0.00,0.21,0.67
2015-11-30,31,24,37,37,48,22,61,1985,2012,0.0,0.21,1.63
2015-12-1,38,34,42,37,48,20,62,1985,1958,0.52,0.21,1.69
2015-12-2,39,35,42,37,48,23,62,1985,1958,0.30,0.20,2.08
2015-12-3,45,38,52,37,48,27,62,2013,1979,0.53,0.20,1.69
2015-12-4,47,43,50,37,47,22,64,2013,1945,0.26,0.20,1.56
2015-12-5,45,43,47,36,47,19,59,2013,1970,0.39,0.19,1.80
2015-12-6,51,44,57,36,47,22,60,1972,1988,0.75,0.19,1.12
2015-12-7,55,46,63,36,47,15,63,2013,2015,2.67,0.19,2.67
2015-12-8,59,56,62,36,46,8,62,1972,2015,1.66,0.18,1.66
2015-12-9,53,47,59,36,46,12,60,2009,1987,0.40,0.18,1.42
2015-12-10,49,44,53,35,46,13,65,2009,1993,0.65,0.18,1.43
2015-12-11,45,43,46,35,46,14,64,2009,2014,0.72,0.17,1.30
2015-12-12,47,43,50,35,46,14,63,1972,1995,0.72,0.18,0.93
2015-12-13,46,42,49,35,46,18,61,1972,1977,0.63,0.17,1.84
2015-12-14,40,35,44,35,45,23,60,1972,2002,0.02,0.18,1.35
2015-12-15,39,35,42,35,45,22,59,2008,1959,0.12,0.18,1.84
2015-12-16,43,41,45,35,45,6,60,1964,1974,0.10,0.17,1.19
